_id,OBJECTID,OID,Address,City,County,Zip,Year,Recipient,Approved Loan Amount,Recipient Type,Project Type,Project Status,Estimated Savings ($/yr),Annual Electric Savings (kWh),Lighting,HVAC,Solar,Battery Storage,EV Infrastructure,Other,Project Summary,Utility,Type of Utility,DAC,DDLat,DDLon,DDLat_D,DDLon_D,GlobalID,CreationDate,Creator,EditDate,Editor,x,y,x2,y2
485,488,495,"20 Magnolia Ave, Larkspur, CA 94939",Larkspur,Marin,94939,1992,MARIN PRIMARY,25000,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,,,No,37.92867100N,122.53243100W,37.928671,-122.532431,326b2124-9075-4c98-b9a4-8821c1a90fc6,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.532431,37.928671,-13640247.8246,4569354.312
486,489,496,"805 Humboldt Ave, Chowchilla, CA 93610",Chowchilla,Madera,93610,1992,CHOWCHILLA UNION,41583,School,ECAA-Ed,Completed,2079.15,37802.72727,No,No,No,No,No,Yes,,San Diego Gas & Electric,IOU,No,37.11603000N,120.26237200W,37.11603,-120.262372,0ad7139f-148d-43cb-b060-8aa016d07359,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-120.262372,37.11603,-13387546.0126,4455292.2368
487,490,497,"823 W Laurel St, Willows, CA 95988",Willows,Glenn,95988,1992,WILLOWS UNIFIED,50976,School,ECAA-Ed,Completed,2548.8,46341.81818,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,Yes,39.51812900N,122.20352200W,39.518129,-122.203522,7fc15657-2d74-4cfe-9ab6-18cfb6fd2c1c,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.203522,39.518129,-13603633.8422,4796163.2056
488,491,498,"204 S Court St, Alturas, CA 96101",Alturas,Modoc,96101,1992,COUNTY OF MODOC,54059,Local Government,ECAA-Reg,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,41.48316030N,120.54072200W,41.4831603,-120.540722,ef4f0db7-d296-49a6-8529-46c157b85066,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-120.540722,41.4831603,-13418531.7929,5083871.0405
489,492,499,"231 Oak Ave, Hayfork, CA 96041",Hayfork,Trinity,96041,1992,MOUNTAIN VALLEY UNIFIED,57571,School,ECAA-Ed,Completed,2878.55,37432.37971,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,40.55129000N,123.17125170W,40.55129,-123.1712517,417a3fc3-9994-4dde-9898-f6781e0af8bd,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-123.1712517,40.55129,-13711361.0196,4946380.6387
490,493,500,"76270 High School St, Covelo, CA 95428",Covelo,Mendocino,95428,1992,ROUND VALLEY UNIFIED,58580,School,ECAA-Ed,Completed,2929,53254.54545,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,39.79361500N,123.25622300W,39.793615,-123.256223,7ae76324-d0f1-4b21-96ed-0a7330411ed9,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-123.256223,39.793615,-13720819.9815,4835996.1427
491,494,501,"24411 Amador St, Hayward, CA 94544",Hayward,Alameda,94544,1992,HAYWARD  UNIFIED SCHOOL,77094,School,ECAA-Ed,Completed,3854.7,50126.13784,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.65664000N,122.09395500W,37.65664,-122.093955,4a783ba2-9eb4-45d5-8bef-1b64f2f47737,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.093955,37.65664,-13591436.8995,4531033.471
492,495,502,"9700 E Las Tunas Dr, Temple City, CA 91780",Temple City,Los Angeles,91780,1992,TEMPLE CITY UNIFIED SCHOOL,91092,School,ECAA-Ed,Completed,4554.6,96906.38298,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,Yes,34.10684500N,118.05750000W,34.106845,-118.0575,30fb7640-ec25-4664-8719-69e88e810663,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.0575,34.106845,-13142100.7843,4043157.7379
493,496,503,"745 10th St, Colusa, CA 95932",Colusa,Colusa,95932,1992,COLUSA UNIFIED,109982,School,ECAA-Ed,Completed,5499.1,99983.63636,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,39.20988200N,122.01638600W,39.209882,-122.016386,a3f38e0b-53f7-483b-ac6e-259c1d23282f,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.016386,39.209882,-13582801.958,4751780.1139
494,497,504,"17200 Pinehurst Ln, Huntington Beach, CA 92647",Huntington Beach,Orange,92647,1992,OCEAN VIEW SCHOOL,112378,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Southern California Edison,IOU,Yes,33.71139200N,118.02057100W,33.711392,-118.020571,0041db2a-bb66-40dd-a1d4-d1d632dc8f07,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.020571,33.711392,-13137989.8669,3990114.5449
495,498,505,"8324 Westman Ave, Whittier, CA 90606",Whittier,Los Angeles,90606,1992,LOS NIETOS,113604,School,ECAA-Ed,Completed,5680.2,103276.3636,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,33.96678900N,118.06626900W,33.966789,-118.066269,e754fdd1-705c-44ea-9323-55734b8e7402,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.066269,33.966789,-13143076.9449,4024343.4715
496,499,506,"1750 Cirby Way, Roseville, CA 95661",Roseville,Placer,95661,1992,ROSEVILLE JOINT UNION HIGH,122067,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,38.72765200N,121.26147000W,38.727652,-121.26147,9359ec29-95be-45ec-b69f-83c3654945a7,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.26147,38.727652,-13498765.0932,4682734.8017
497,500,507,"2201 Pennington Rd, Live Oak, CA 95953",Live Oak,Sutter,95953,1992,LIVE OAK UNIFIED,150274,School,ECAA-Ed,Completed,7513.7,98994.72991,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,39.27721500N,121.66741200W,39.277215,-121.667412,870c1f7c-aa2f-434c-abc1-7eaa77d042a5,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.667412,39.277215,-13543954.35,4761458.3913
498,501,508,"379 12th St, Fortuna, CA 95540",Fortuna,Humboldt,95540,1992,FORTUNA UNION HIGH,156202,School,ECAA-Ed,Completed,7810.1,106404.6322,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,40.59531200N,124.15338900W,40.595312,-124.153389,274921ea-dac7-4cf6-b410-7964b9f5abb3,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-124.153389,40.595312,-13820692.0437,4952832.2864
499,502,509,"100 Civic Center Plaza, Lompoc, CA 93436",Lompoc,Santa Barbara,93436,1992,CITY OF LOMPOC,209189,Local Government,ECAA-Reg,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,34.63768330N,120.45238330W,34.6376833,-120.4523833,48637daa-be0b-4787-891d-6fd7d3e4fe1b,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-120.4523833,34.6376833,-13408697.9738,4114752.1125
500,503,510,"3060 Snows Rd, Camino, CA 95709",Camino,El Dorado,95709,1991,CAMINO UNION ESD,3284,School,ECAA-Ed,Completed,164.2,2121.447028,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,38.73288200N,120.67686500W,38.732882,-120.676865,21872fce-3623-4a91-a346-c813c76cc24f,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-120.676865,38.732882,-13433687.1623,4683481.1175
501,504,511,"7900 Eloise Ave, Elverta, CA 95626",Elverta,Sacramento,95626,1991,ELVERTA JOINT ,5090,School,ECAA-Ed,Completed,254.5,4627.272727,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,38.71193900N,121.46318700W,38.711939,-121.463187,d68faf41-7dbb-4fec-a767-6c38ad67e5e3,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.463187,38.711939,-13521220.127,4680492.9009
502,505,512,"5268 North St, Somis, CA 93066",Somis,Ventura,93066,1991,SOMIS UNION ELEMENTARY,5411,School,ECAA-Ed,Completed,270.55,3794.530154,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,Yes,34.25849600N,118.99762000W,34.258496,-118.99762,b68d503d-8068-4242-9a04-8c551ed44bb3,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.99762,34.258496,-13246754.464,4063564.7617
503,506,513,"110 Shaw Dr, San Anselmo, CA 94960",San Anselmo,Marin,94960,1991,ROSS VALLEY UNIFIED,7400,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.98228170N,122.56219330W,37.9822817,-122.5621933,248d53a4-708d-49ad-8f22-8cf2741ce562,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.5621933,37.9822817,-13643560.9487,4576923.1136
504,507,514,"25541 Barton Rd, Loma Linda, CA 92354",Loma Linda,San Bernardino,92354,1991,CITY OF LOMA LINDA,10720,Local Government,ECAA-Reg,Completed,536,6934.023286,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,34.04782900N,117.24675700W,34.047829,-117.246757,338b2983-c125-4109-9d98-b1b20aac0e20,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.246757,34.047829,-13051849.2864,4035226.1018
505,508,515,"1555 Irving St, San Francisco, CA 94122",San Francisco,San Francisco,94122,1991,WOODSIDE ELEMENTARY,15000,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.76341400N,122.47477700W,37.763414,-122.474777,31e73f86-5eb0-493c-b0e6-3a11e5fa49a7,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.474777,37.763414,-13633829.8107,4546057.8462
506,509,516,"823 W Laurel St, Willows, CA 95988",Willows,Glenn,95988,1991,WILLOWS UNIFIED,19462,School,ECAA-Ed,Completed,973.1,17692.72727,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,39.51812900N,122.20352200W,39.518129,-122.203522,bab8853d-726e-4db2-946f-5e2673acff1b,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.203522,39.518129,-13603633.8422,4796163.2056
507,510,517,"6425 W Bowles Ave, Raisin City, CA 93652",Raisin City,Fresno,93652,1991,RAISIN CITY SD,19669,School,ECAA-Ed,Completed,983.45,14252.89855,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,36.60065800N,119.90622500W,36.600658,-119.906225,a674dbcd-280e-408b-9b70-90a47331bcbb,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-119.906225,36.600658,-13347899.9099,4383588.8803
508,511,518,"1492 Pine Flat Rd # 1, Santa Cruz, CA 95060",Santa Cruz,Santa Cruz,95060,1991,BONNY DOON UESD,22136,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.06077100N,122.14881900W,37.060771,-122.148819,b1505342-c47c-4a67-8ad8-390d211ccec3,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.148819,37.060771,-13597544.3321,4447580.8695
509,512,519,"25541 Barton Rd, Loma Linda, CA 92354",Loma Linda,San Bernardino,92354,1991,CITY OF LOMA LINDA,25950,Local Government,ECAA-Reg,Completed,1297.5,16785.25226,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,34.04782900N,117.24675700W,34.047829,-117.246757,b9891f41-4921-4419-ba2d-d4e6ac3ec667,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.246757,34.047829,-13051849.2864,4035226.1018
510,513,520,"704 Bangham Lane, Susanville, CA 96130",Susanville,Lassen,96130,1991,JONSTONVILLE ESD,33237,School,ECAA-Ed,Completed,1661.85,30215.45455,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,40.38247670N,120.59319010W,40.3824767,-120.5931901,9b4ed3a4-b9e7-4dd6-97f7-7783a0018ea6,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-120.5931901,40.3824767,-13424372.5151,4921679.4146
511,514,521,"955 Stanislaus St, Maricopa, CA 93252",Maricopa,Kern,93252,1991,MARICOPA USD,35767,School,ECAA-Ed,Completed,1788.35,38050,No,No,No,No,No,Yes,,Turlock Irrigation District,POU,Yes,35.05430500N,119.40374500W,35.054305,-119.403745,f970fb83-a44c-4cdd-b234-6a9fbb8ad71e,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-119.403745,35.054305,-13291964.0922,4171263.4277
512,515,522,"835 E 14th St, San Leandro, CA 94577",San Leandro,Alameda,94577,1991,CITY OF SAN LEANDRO,38000,Local Government,ECAA-Reg,Completed,1900,34545.45455,No,No,No,No,No,Yes,,Lassen Municipal Utility District,POU,No,37.72767100N,122.15847000W,37.727671,-122.15847,70a585de-d0b6-475f-9675-4fb883f86ade,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.15847,37.727671,-13598618.6765,4541025.9687
513,516,523,"510 Keystone Blvd, Patterson, CA 95363",Patterson,Stanislaus,95363,1991,PATTERSON JOINT UNIFIED,48669,School,ECAA-Ed,Completed,2433.45,33472.48968,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,37.47421000N,121.16078330W,37.47421,-121.1607833,fdc820ad-b6b6-4e63-95fa-514e39e84dda,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.1607833,37.47421,-13487556.7011,4505413.2901
514,517,524,"1435 Buttermilk Ln, Arcata, CA 95521",Arcata,Humboldt,95521,1991,ARCATA SD,54015,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,San Diego Gas & Electric,IOU,No,40.85643970N,124.06672570W,40.8564397,-124.0667257,230b8c4c-9028-4e46-858a-3e44b5e3fa56,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-124.0667257,40.8564397,-13811044.7293,4991189.5574
515,518,525,"1469 Ferry St, Anderson, CA 96007",Anderson,Shasta,96007,1991,ANDERSON VALLEY USD,55539,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,40.44339730N,122.30546850W,40.4433973,-122.3054685,33f874eb-09fb-464a-a77b-8ddbc154b747,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.3054685,40.4433973,-13614982.4747,4930586.3265
516,519,526,"1923 Delta Rd, Knightsen, CA 94548",Knightsen,Contra Costa,94548,1991,KNIGHTSEN ESD,61445,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Trinity Public Utilities District,POU,No,37.96851900N,121.66100400W,37.968519,-121.661004,86de0a28-1f8c-4913-b88d-667f644b1416,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.661004,37.968519,-13543241.0147,4574979.5574
517,520,527,"24411 Amador St, Hayward, CA 94544",Hayward,Alameda,94544,1991,HAYWARD  UNIFIED SCHOOL,69032,School,ECAA-Ed,Completed,3451.6,44884.26528,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.65664000N,122.09395500W,37.65664,-122.093955,e6f96cb4-4332-49c6-b985-90505ff7a6a1,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.093955,37.65664,-13591436.8995,4531033.471
518,521,528,"231 Oak Ave, Hayfork, CA 96041",Hayfork,Trinity,96041,1991,MOUNTAIN VALLEY UNIFIED,75971,School,ECAA-Ed,Completed,3798.55,49395.96879,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,40.55129000N,123.17125170W,40.55129,-123.1712517,506b681d-9d03-4b62-a7cf-de99bb3e4d5e,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-123.1712517,40.55129,-13711361.0196,4946380.6387
519,522,529,"2180 Milvia St, Berkeley, CA 94704",Berkeley,Alameda,94704,1991,CITY OF BERKELEY,98048,Local Government,ECAA-Reg,Completed,4902.4,66159.24426,No,No,No,No,No,Yes,,Southern California Edison,IOU,Yes,37.86945500N,122.27087380W,37.869455,-122.2708738,6331880e-5460-49f1-9492-754da01dfa10,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.2708738,37.869455,-13611131.4103,4561000.5614
520,523,530,"3430 A St, Atwater, CA 95301",Atwater,Merced,95301,1991,MERCED UNION HIGH,100800,School,ECAA-Ed,Completed,5040,66932.27092,No,No,No,No,No,Yes,,San Diego Gas & Electric,IOU,No,37.36726780N,120.57019220W,37.3672678,-120.5701922,821e884d-7cdb-47f1-92c0-9a84f7d7ad95,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-120.5701922,37.3672678,-13421812.4006,4490423.572
521,524,531,"903 South St, Orland, CA 95963",Orland,Glenn,95963,1991,ORLAND JUHSD,112044,School,ECAA-Ed,Completed,5602.2,119195.7447,No,No,No,No,No,Yes,,Los Angeles Department of Water & Power,POU,Yes,39.74007500N,122.20123480W,39.740075,-122.2012348,49f290c6-b742-47de-b3af-47dcb5058e50,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.2012348,39.740075,-13603379.2322,4828242.267
522,525,532,"70 W Hedding St, San Jose, CA 95110",San Jose,Santa Clara,95110,1991,COUNTY OF SANTA CLARA,116896,Local Government,ECAA-Reg,Completed,5844.8,92774.60317,No,No,No,No,No,Yes,,Southern California Edison,IOU,Yes,37.35258300N,121.90381400W,37.352583,-121.903814,57df9cc1-a47c-45b3-8904-ecafdced3476,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.903814,37.352583,-13570270.5002,4488366.9241
523,526,533,"735 Anacapa St, Santa Barbara, CA 93101",Santa Barbara,Santa Barbara,93101,1991,CITY OF SANTA BARBARA,160000,Local Government,ECAA-Reg,Completed,8000,145454.5455,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,34.42030570N,119.69863830W,34.4203057,-119.6986383,76df36bc-553c-484b-a014-203b074302b3,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-119.6986383,34.4203057,-13324791.4642,4085379.409
524,527,534,"5715 Musick Ave, Newark, CA 94560",Newark,Alameda,94560,1991,NEWARK UNIFIED SCHOOL,164000,School,ECAA-Ed,Completed,8200,118840.5797,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,Yes,37.54277930N,122.03179580W,37.5427793,-122.0317958,a6c34626-7dea-4406-bda6-47e1742a560f,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.0317958,37.5427793,-13584517.369,4515035.6976
525,528,535,"17200 Pinehurst Ln, Huntington Beach, CA 92647",Huntington Beach,Orange,92647,1991,OCEAN VIEW SCHOOL,184556,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,33.71139200N,118.02057100W,33.711392,-118.020571,9d001870-f345-4501-a9a6-cf853fdf6bba,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.020571,33.711392,-13137989.8669,3990114.5449
526,529,536,"2201 Blue Gum Ave, Modesto, CA 95358",Modesto,Stanislaus,95358,1991,Yosemite Community College District,195485,College,ECAA-Reg,Completed,9774,128778,No,No,No,No,No,Yes,,Modesto Irrigation District,POU,Yes,37.66323500N,121.03880700W,37.663235,-121.038807,0c60991f-41d8-4b59-8655-0c70434bdfa4,8/22/2022 3:59:00 PM,mlaw_CAEnergy,10/14/2022 6:19:00 PM,SLocwood_CAEnergy,-121.0372907,37.66228943,-13473809.5677,4531827.8712
527,530,537,"11019 Valley Home Ave, Whittier, CA 90603",Whittier,Los Angeles,90603,1991,LOWELL JOINT,201773,School,ECAA-Ed,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,33.93280600N,117.97679750W,33.932806,-117.9767975,adf8dbb2-e3c5-4fcb-ae09-f18313fa5fff,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.9767975,33.932806,-13133117.0231,4019783.0782
528,531,538,"8353 Sierra Ave, Fontana, CA 92335",Fontana,San Bernardino,92335,1991,CITY OF FONTANA,223247,Local Government,ECAA-Reg,Completed,11162.35,202951.8182,No,No,No,No,No,Yes,,Lassen Municipal Utility District,POU,No,34.10224600N,117.43515300W,34.102246,-117.435153,d01e316e-9a99-4ed2-9e04-5dba1030209d,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.435153,34.102246,-13072821.4332,4042539.4425
529,532,539,"825 N Lovekin Blvd, Blythe, CA 92225",Blythe,Riverside,92225,1991,PALO VERDE UNIFIED SCHOOL,412540,School,ECAA-Ed,Completed,20627,375036.3636,No,No,No,No,No,Yes,,Southern California Edison,IOU,Yes,33.62349770N,114.60630100W,33.6234977,-114.606301,f3954475-44a7-4ad1-8b71-2a5b55570753,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-114.606301,33.6234977,-12757915.069,3978358.3127
530,533,540,"4376 Stage Gulch Rd, Sonoma, CA 95476",Sonoma,Sonoma,95476,1991,SONOMA  VALLEY COUNTY SANITATION,600000,Special District,ECAA-Reg,Completed,30000,423728.8136,No,No,No,No,No,Yes,,Sacramento Municipal Utility District,POU,Yes,38.24605000N,122.51062300W,38.24605,-122.510623,a7d696c1-cdc9-4d4d-85ca-3ff0d02b2762,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.510623,38.24605,-13637820.1691,4614242.9738
531,534,541,"1 Frank H. Ogawa Plaza, Oakland, CA 94612",Oakland,Alameda,94612,1991,CITY OF OAKLAND,737647,Local Government,ECAA-Reg,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.80531500N,122.27254600W,37.805315,-122.272546,9de59ac1-2a70-49dc-9ce4-5c186b610cbc,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.272546,37.805315,-13611317.5587,4551959.7403
532,535,542,"2000 Main St, Huntington Beach, CA 92648",Huntington Beach,Orange,92648,1991,CITY OF HUNTINGTON BEACH,1171575,Local Government,ECAA-Reg,Completed,0,0,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,33.67779900N,118.00092000W,33.677799,-118.00092,4105a660-7e56-41d3-920a-e82d4b587e2d,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.00092,33.677799,-13135802.3275,3985619.9214
533,536,543,"1 University Dr, Orange, CA 92866",Orange,Orange,92866,1990,CHAPMAN COLLEGE/UNIVERSITY,2173,College,ECAA-Reg,Completed,0,0,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,33.79300000N,117.85248300W,33.793,-117.852483,422d4f10-88af-461e-9b69-06337735b23a,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-117.852483,33.793,-13119278.3963,4001040.7351
534,537,544,"510 Keystone Blvd, Patterson, CA 95363",Patterson,Stanislaus,95363,1990,PATTERSON JOINT UNIFIED,2195,School,ECAA-Ed,Completed,109.75,1509.628611,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.47421000N,121.16078330W,37.47421,-121.1607833,84b1d200-aed0-4fba-9bdc-0cb41b8b494a,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-121.1607833,37.47421,-13487556.7011,4505413.2901
535,538,545,"50200 High School Rd, Oakhurst, CA 93644",Oakhurst,Madera,93644,1990,YOSEMITE UNION,5272,School,ECAA-Ed,Completed,263.6,3625.859697,No,No,No,No,No,Yes,,Southern California Edison,IOU,No,37.32905700N,119.63222700W,37.329057,-119.632227,23f2920a-dba9-469a-a4cf-ae8f18f5e581,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-119.632227,37.329057,-13317398.5921,4485072.8794
536,539,546,"2000 Center St Suite 200, Berkeley, CA 94704",Berkeley,Alameda,94704,1990,PACIFIC LUTHERAN THEOLOGICAL SEMINARY,6721,College,ECAA-Reg,Completed,0,0,No,No,No,No,No,Yes,,Turlock Irrigation District,POU,Yes,37.86957700N,122.27019400W,37.869577,-122.270194,be3c6bc8-143e-4bce-8c91-e2cc289a26ff,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-122.270194,37.869577,-13611055.7353,4561017.7653
537,540,547,"301 N Fowler St, Bishop, CA 93514",Bishop,Inyo,93514,1990,BISHOP JOINT UNION HIGH SD,7823,School,ECAA-Ed,Completed,391.15,5053.617571,No,No,No,No,No,Yes,,Pacific Gas & Electric Company,IOU,No,37.36309100N,118.39930200W,37.363091,-118.399302,835f212b-1479-41f2-a101-2494992445b2,8/22/2022 3:59:00 PM,mlaw_CAEnergy,8/22/2022 3:59:00 PM,mlaw_CAEnergy,-118.399302,37.363091,-13180150.0089,4489838.5583
